TIME;TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
ES614;Granada;8 669,7;9 420,2;10 325,2;11 185,1;11 966,5;12 816,1;14 392,8;15 430,6;15 857,5;15 176,8;15 075,6;15 053,7;14 718,1;14 609;15 079,1;15 864,6;15 888,3;16 314,4;16 798,6;17 538,1;15 967,9;17 357,4;18 900,2;:
ES615;Huelva;5 991,9;6 170,1;6 531,1;7 047,4;7 704,8;8 368,8;8 762,7;9 191,5;9 457,2;8 733,9;8 966,6;9 283,9;9 030,1;8 425,2;8 408,1;8 936,1;9 289;10 037,9;10 616,5;10 650,6;9 353,4;10 640,2;13 566,2;:
ES616;Jaén;6 717,3;7 267,3;7 593;8 724,9;9 105,6;9 372,5;10 096;10 938,3;11 118,3;10 882,1;10 923,8;10 914,8;9 750,5;10 391,7;9 892,2;11 120,1;10 903,6;11 122,2;11 635,3;11 267,3;10 781,4;11 853,9;11 736,3;:
ES617;Málaga;14 950,8;16 756,8;17 938,1;19 628,6;21 782,8;24 490,2;26 235,9;27 664,6;28 518,3;27 701,7;27 697,1;27 250,6;26 063;25 828,4;26 607,9;27 876,4;28 513,6;29 891,6;31 204,4;32 530,1;28 516,6;32 619,8;37 176,9;:
ES618;Sevilla;20 766,6;22 650,7;24 914,4;27 003;28 921;31 564,9;33 827,7;36 583,8;37 343,7;36 212,7;36 089;35 975,6;35 176,2;34 178,9;34 874,4;35 977,8;36 674,9;38 290,7;39 602,4;40 899,3;37 457,4;41 575;44 979,9;:
ES620;Murcia;16 088,7;17 524,5;19 015,7;20 644,9;22 159,2;24 272,4;26 355,8;28 418,1;29 541,1;28 076,3;28 372,2;27 698,3;26 950,8;27 046,9;27 239,1;29 168,7;30 009,1;31 192,5;31 715,3;33 000,7;30 440,3;33 603,6;37 492,7;:
ES630;Ceuta;948,7;985,8;1 040,1;1 109,6;1 170,8;1 237;1 327,1;1 420,5;1 484;1 484,4;1 494,1;1 491,2;1 438,9;1 454,8;1 446,6;1 498,5;1 537,4;1 553,6;1 611,6;1 660;1 535,7;1 634,1;1 764;:
ES640;Melilla;871;906,6;947,8;1 011,6;1 076,5;1 145;1 227,1;1 296,1;1 357,6;1 361,9;1 367,4;1 374,5;1 325,9;1 339,5;1 350,6;1 407,6;1 452,8;1 466,6;1 510,9;1 560,1;1 452;1 534,1;1 654,4;:
ES703;El Hierro;85,7;95,8;107;120,7;127;155;165,2;170,3;189,1;192,8;197,8;184,8;184,7;174,3;186,3;176,8;160,4;178,2;185,5;198,3;175,5;186,3;209,5;:
ES704;Fuerteventura;1 136,2;1 269,8;1 390,7;1 534,4;1 704,6;1 789,7;1 930,1;2 023,3;2 039,1;1 895,9;1 914,8;1 948,7;1 908,3;1 980,9;2 036,1;2 173;2 250,6;2 375,5;2 504,4;2 519,7;1 854,8;2 229,6;2 731,7;:
ES705;Gran Canaria;10 621,4;11 495,7;12 089,6;12 773,1;13 171,3;13 746,8;14 697,2;15 618,2;16 169,8;15 682,4;15 436,9;15 302,6;14 687,9;14 656,6;14 607;14 901,4;15 724,6;16 365,9;16 980;17 387,4;14 638;16 029;18 786,4;:
ES706;La Gomera;209,3;226,6;259,2;279,5;297,4;347,3;372,7;390,7;418,7;415,2;409,8;400;405,8;392,6;393,5;394,3;360,1;385;391,5;399,1;326,6;366,8;419,5;:
ES707;La Palma;848,4;897,7;965,5;1 062,9;1 119,8;1 255,1;1 353,9;1 414,2;1 543,1;1 538,6;1 556,4;1 518,2;1 439,2;1 378,1;1 387;1 416,1;1 388,4;1 481,1;1 525,5;1 588,5;1 407,2;1 473,6;1 665,4;:
ES708;Lanzarote;1 767,9;1 988,6;2 174,7;2 317,5;2 432,1;2 642,2;2 789,2;2 935,3;2 922,6;2 814,5;2 775,2;2 842,6;2 746,9;2 881,6;2 929,6;3 031,8;3 158,3;3 348,3;3 489,9;3 571,6;2 666,7;3 105,5;3 808,7;:
ES709;Tenerife;10 317,2;11 263,2;12 115,1;13 016,7;13 995;15 167,6;16 137,5;17 350;17 873,7;16 966;17 447,3;17 414,8;16 866,8;16 602,9;16 773,4;17 543,2;17 937,3;18 901,8;19 532,5;20 102,2;16 518,6;18 016,5;20 929,9;:
ESZZZ;Extra-Regio NUTS 3;571,3;602,8;609,1;573,7;689,7;775,8;915,1;938,5;994,7;1 025,3;1 095,8;1 461,8;1 139;1 215,5;1 171,1;1 235,1;1 123,7;1 135,8;1 137;1 172,5;1 193,1;1 236,4;1 327,7;:
AT111;Mittelburgenland;571,89;611,18;599,99;636,09;644,43;665,23;703,15;747,03;701,55;729,12;733,96;782,21;800,84;833,02;852,62;887,17;929,91;982,47;980,12;999,53;975;1 049,93;1 135,17;:
AT112;Nordburgenland;2 600,43;2 660,77;2 784,61;2 846,72;3 100,91;3 119,05;3 315;3 508,58;3 522,31;3 572,6;3 766,46;3 933,51;4 164,15;4 279,9;4 425,06;4 720,68;4 845,42;4 980,98;5 164,41;5 322,95;5 158,69;5 558,93;6 149,09;:
AT113;Südburgenland;1 728,02;1 760,79;1 821,27;1 777,24;1 787,35;1 793,09;1 814,5;1 970,77;2 016,11;2 042,45;2 158,05;2 264,58;2 294,4;2 291,92;2 370,01;2 454,35;2 545,42;2 646,92;2 687,74;2 745,05;2 639,1;2 830,45;3 032,69;:
AT121;Mostviertel-Eisenwurzen;4 557,21;4 698,05;4 740,45;4 826,66;5 093,71;5 393,9;5 765,37;6 237,59;6 376,69;6 165,54;6 225,74;6 574,58;6 858,41;7 013,09;7 152,76;7 461;7 853,54;8 365,03;8 504,44;8 855,51;8 407,58;8 874,56;9 603,7;:
AT122;Niederösterreich-Süd;4 827,45;4 945,43;5 049,98;5 191,74;5 390,11;5 620,14;5 929,1;6 290,31;6 431,6;6 222,84;6 468,52;6 753,28;6 958,65;7 063,75;7 420,47;7 565,7;7 710,57;7 997,03;8 370,84;8 645,73;8 319,35;8 600,04;9 288,93;:
AT123;Sankt Pölten;3 782,35;3 864,11;3 921,78;3 971,08;4 082,15;4 270,54;4 461,12;4 828,78;4 996,01;5 127,47;5 241,13;5 530,52;5 674,6;5 774,82;5 890,71;6 240,58;6 498,09;6 698,33;6 786,71;7 071,84;6 979,14;7 282,3;7 846,82;:
AT124;Waldviertel;4 100,81;4 176,42;4 248,13;4 342,87;4 551,44;4 635,24;4 752,7;4 937,58;5 168,59;5 116,23;5 170,32;5 442,86;5 542,82;5 639,74;5 813,09;5 997,4;6 250,41;6 416,98;6 691,28;6 956,3;6 850,7;7 333,84;7 912,67;:
AT125;Weinviertel;1 722,41;1 733,92;1 755,1;1 785,08;1 883,9;1 853,87;1 943,47;2 104,25;2 184,21;2 154,79;2 195,14;2 349,99;2 316,92;2 415,75;2 464,49;2 616,47;2 787,47;2 856,24;2 920,14;3 074,86;3 061,26;3 349,25;3 626,5;:
AT126;Wiener Umland/Nordteil;5 096,58;5 258,86;5 368,47;5 428,03;5 908,79;6 073,76;6 551,5;7 011,54;7 660,99;7 422,69;7 591,38;8 150,24;8 426,3;8 603,7;8 732,01;8 688,18;8 866,76;9 112,29;9 436,28;9 914,49;9 621,59;10 571,04;12 147,5;:
AT127;Wiener Umland/Südteil;9 552,86;9 258,42;9 379,97;9 716,03;10 890,24;11 436,14;11 972,59;12 817,3;13 138,9;12 857,98;13 182,06;13 602,08;14 034,45;13 923,74;14 566,48;15 209,09;16 067,34;16 779,58;17 693,73;18 691,47;16 071,34;17 401,77;19 322,37;:
AT130;Wien;56 460,45;58 318,73;60 607,58;61 305,3;62 924,23;66 068,49;69 354,88;72 705,38;75 605,8;75 026,82;76 942,2;79 361,41;80 734,11;81 911,33;83 467,6;86 162,34;90 444,1;91 606,81;95 891,94;98 542,48;95 759,07;103 425,65;110 702,62;:
AT211;Klagenfurt-Villach;7 292,2;7 486,43;7 665,24;7 813,37;8 195,74;8 523,08;8 862,81;9 567,83;9 928,14;9 442,67;9 896,66;10 394,59;10 478,53;10 426,2;10 935,54;11 188,69;11 406,55;12 020,3;12 597,8;12 977,01;12 756,56;13 634,56;14 817,42;:
AT212;Oberkärnten;2 401,95;2 431,3;2 480,69;2 518,6;2 611,41;2 681,19;2 919,13;3 084,59;3 247,74;3 162,54;2 999,91;3 132,2;3 143,67;3 266,77;3 250,74;3 195,16;3 292,95;3 370,55;3 477;3 629,03;3 573,89;3 692,13;4 334,17;:
AT213;Unterkärnten;2 828,07;2 928,31;3 022,36;3 161,41;3 296,26;3 365,56;3 613,31;3 882,09;3 885,41;3 656,86;3 846,27;4 033,54;4 239,62;4 222,49;4 466,68;4 551,81;4 641,65;4 715,39;4 980,29;5 116,54;4 847,09;5 249,66;5 970,5;:
AT221;Graz;11 962,66;12 326,64;12 505,51;13 168,61;13 918,17;14 441,51;15 247,22;16 195,76;16 744,13;16 494,62;16 609,09;17 640,11;18 375,44;18 345,48;19 019,66;19 649,44;20 719,13;21 745,93;22 571,86;23 593,74;22 691,98;24 259,38;26 238,28;:
AT222;Liezen;1 761,66;1 787,65;1 801,08;1 782,84;1 915,33;1 978,81;2 066,83;2 198,47;2 298,52;2 235,68;2 259,2;2 348,87;2 490,38;2 530,57;2 602,84;2 695,28;2 838,13;2 882,13;2 952,7;3 014,28;2 887,03;2 938,02;3 424,47;:
AT223;Östliche Obersteiermark;3 790,2;3 962,62;4 052,99;4 080,82;4 242,7;4 654,38;5 003,9;5 459,16;5 467,82;5 171,28;5 129,85;5 637,28;5 751,19;5 661,13;5 896,33;6 050,31;5 932,94;6 186,27;6 271,39;6 394,27;5 690,31;6 103,5;7 139,15;:
AT224;Oststeiermark;4 421,52;4 605,14;4 687,74;4 942,01;5 113,92;5 275,71;5 528,74;6 037,94;6 243,33;6 216,1;6 420,19;6 625,16;6 937,25;6 952,3;7 355,23;7 441,86;7 756,73;8 226,61;8 385,44;8 710,79;8 513,68;9 042,64;9 943,02;:
AT225;West- und Südsteiermark;3 327,07;3 460,01;3 402,54;3 586,96;3 817,2;3 843,94;4 078,71;4 343,1;4 415,49;4 191,62;4 551;4 767,42;4 924,45;4 964,32;5 084,21;5 132,74;5 413,95;5 706,86;5 827,93;6 142,99;6 032,06;6 496,81;7 029,77;:
AT226;Westliche Obersteiermark;2 169,83;2 233,17;2 273,22;2 206,15;2 361,05;2 354,76;2 521,02;2 622,46;2 743,43;2 533,4;2 733,52;2 805,16;2 869,97;2 844,64;2 787,31;2 747,07;3 041,9;3 134,21;3 169,38;3 303,71;3 177,41;3 323,48;3 808,44;:
AT311;Innviertel;5 097,7;5 287,96;5 526,6;5 667,69;5 972,79;6 339,41;6 760,09;7 297,57;7 499,62;7 267,65;7 605,99;8 328,93;8 729,29;9 113,64;9 609,38;9 672,17;10 127,65;10 686,71;11 194,43;11 543,35;11 124,85;12 122,97;13 235,78;:
AT312;Linz-Wels;17 995,58;19 166,07;19 252,27;20 171,18;20 698,18;21 960,55;23 026,71;24 543,21;26 091,76;24 975,61;25 730,2;26 951,3;27 235,39;27 664;28 034;29 580,55;30 038,46;31 399,53;33 053,37;34 225,06;33 323,19;35 481,45;38 907,04;:
AT313;Mühlviertel;2 860,59;2 892,49;2 948,34;2 971,03;3 132,35;3 251,87;3 467,52;3 717,21;3 966,1;4 075,91;4 020,48;4 304,39;4 482,91;4 732,43;4 862,62;5 089,96;5 339,64;5 565,06;5 767,3;5 967,99;5 893,57;6 492,33;7 097,85;:
AT314;Steyr-Kirchdorf;3 716,19;3 985;4 186,45;4 356,31;4 623,3;4 900,88;5 202,4;5 423,26;5 573,16;5 162,29;5 409,73;5 739,56;6 091,36;6 159,81;6 327,14;6 465,75;6 784,04;6 730,96;6 959,61;7 034,82;6 776,99;7 184,81;7 528,7;:
AT315;Traunviertel;5 317,49;5 512,96;5 662,3;5 649,77;5 853,78;6 352,91;6 635,61;6 981,26;7 067,03;7 005,89;6 939,47;7 579,32;7 611,94;7 841,6;8 259,59;8 329,03;8 802,59;9 059,4;9 588,97;9 998,62;9 413,85;9 866,23;10 632,83;:
AT321;Lungau;422,75;410,81;419,43;435,63;423,26;433,36;464,28;490,17;512,15;533,64;551,88;573,17;604,86;585,36;622,03;652,99;678,85;694,37;756,7;746;683,51;655,51;820,4;:
AT322;Pinzgau-Pongau;3 738,61;3 856,27;3 956,54;4 083,06;4 128,19;4 472,03;4 724,66;5 095,74;5 281,78;5 210,6;5 341,16;5 581,09;5 753,45;5 851,37;5 916,58;6 176,41;6 600,53;6 819,87;7 157,2;7 375,85;6 943,4;6 402,68;8 526,58;:
AT323;Salzburg und Umgebung;10 795,33;11 145,7;11 474,88;11 862,83;12 706,77;13 202,22;13 990,07;14 965,29;15 132,59;14 713,94;15 663,82;16 390,38;17 066,61;16 889,96;17 291,93;18 099,15;18 819,91;19 397,23;20 070,48;20 907,03;20 452,71;22 420,6;24 454,61;:
AT331;Außerfern;816,35;912,3;920,73;932,86;948,69;1 076,08;1 114,72;1 173,26;1 198,01;1 166,15;1 049,8;1 268,84;1 318,97;1 265,28;1 336,29;1 418,57;1 410,62;1 436;1 516,77;1 569,4;1 448,54;1 434,27;1 784,79;:
AT332;Innsbruck;8 045,75;8 349,48;8 603,91;8 852,61;9 080,44;9 650,93;10 100,89;10 577,33;10 822,44;10 691,96;10 916,12;11 327,39;11 800,87;12 226,19;12 376,44;12 976,53;13 378,95;13 736,52;14 362,68;14 927,82;14 178,3;14 954,54;16 435,9;:
AT333;Osttirol;910,54;962,67;1 002,59;1 011,25;1 035,13;1 141,36;1 210,04;1 209,16;1 241,72;1 265,01;1 286,96;1 308,17;1 360,64;1 422,88;1 484,77;1 551,42;1 606,51;1 647,57;1 700,89;1 723,09;1 709,88;1 839,9;1 944,4;:
AT334;Tiroler Oberland;2 247,2;2 335,03;2 398,82;2 495,08;2 572,12;2 649,67;2 785,68;2 934,28;3 097,57;3 141,19;3 224,71;3 463,74;3 622,37;3 735,06;3 850,27;4 137,49;4 300,54;4 421,66;4 708,6;4 783,36;4 183,69;3 605,85;5 260,6;:
AT335;Tiroler Unterland;5 783,97;6 052,5;6 273,5;6 501,99;6 668,87;7 318,68;7 845,66;8 292,49;8 257,2;8 333,82;8 706,37;8 962,79;9 358,93;9 586,43;9 799,47;10 283,5;10 818,89;11 361,94;11 754,66;12 328,61;11 840,75;12 023,24;13 920,01;:
AT341;Bludenz-Bregenzer Wald;2 181,04;2 322,72;2 406,67;2 471,56;2 620,39;2 852,28;3 068,28;3 212,46;3 405,76;3 491,71;3 510,2;3 642,43;3 689,96;3 762,08;3 934,64;4 163,39;4 113,65;4 189,83;4 381,89;4 574,71;4 331,11;4 310,66;5 457,05;:
AT342;Rheintal-Bodenseegebiet;7 412,19;7 560,31;7 778,51;7 883,92;8 235,04;8 580,48;9 016,45;9 632,88;9 794,78;9 565,13;9 837,09;10 481,12;10 706,05;11 261,47;11 722,92;12 696,2;12 859,95;13 580,09;14 752,26;14 158,27;13 857,76;16 270,03;18 372,49;:
ATZZZ;Extra-Regio NUTS 3;108,77;109,7;111,03;109,75;114,52;117,06;115,51;114,41;126,64;132,57;136;133,74;136,29;130,58;130,48;136,23;138,47;138,42;142,58;143,59;141,84;145,67;152,92;:
SI031;Pomurska;959,95;1 003,36;1 056,08;1 081,29;1 147,23;1 178,23;1 243,75;1 355,21;1 426,41;1 351,48;1 349,6;1 413,97;1 394,71;1 411,77;1 454,5;1 467,79;1 533,84;1 613,3;1 714,79;1 791,01;1 761,02;1 934,22;2 123,17;2 319,81
SI032;Podravska;2 870,85;3 037,84;3 297,81;3 398,48;3 603,77;3 788,34;4 117,77;4 618,9;5 003,41;4 705,17;4 679,37;4 796,05;4 675,65;4 668,73;4 851,73;4 966,61;5 109,56;5 376,04;5 711,45;6 089,02;5 904,84;6 612,37;7 216,84;8 086,23
SI033;Koroška;684,98;728,99;749,97;764,1;799,82;847,01;886,64;982,96;1 042,16;931,58;933,51;985,16;981,79;980,88;1 008,09;1 061,39;1 095,48;1 159,01;1 228,79;1 294,15;1 234,08;1 326,49;1 492,78;1 606,98
SI034;Savinjska;2 468,06;2 561,11;2 792,41;2 883,01;3 044,21;3 224,63;3 422,68;3 819,62;4 186,97;3 916,44;4 009,1;4 140,22;4 050,21;4 028,99;4 174,96;4 334,7;4 491,41;4 772,3;5 034,07;5 315,07;5 051,07;5 617,57;6 223,99;6 816,96
SI035;Zasavska;487,66;497,62;496,94;496,96;518,43;548,6;570,91;622,48;664,14;615,64;625,43;627,24;592,44;590,72;592,5;588,17;601,55;627,58;662,09;702,4;700,26;758,75;837,48;942,48
SI036;Posavska;697,15;718,19;797,62;762,08;803,34;865,96;911,39;1 012,82;1 084,57;996,16;992,16;1 023,55;999,2;985,4;994,06;1 041,39;1 079,73;1 147,85;1 235,06;1 339,86;1 334,24;1 431,52;1 619,16;1 878,45
SI037;Jugovzhodna Slovenija;1 485,13;1 556,68;1 668,52;1 751,92;1 875,89;1 940,89;2 148,19;2 387,3;2 547,65;2 370,42;2 404,47;2 443,84;2 364,81;2 393,36;2 459,27;2 552,39;2 628,74;2 892,01;3 097,1;3 335,08;3 251,47;3 472,51;3 710,23;4 004,3
SI038;Primorsko-notranjska;449,18;460,89;489,49;503,87;527,61;545,9;584,82;656,53;705,36;670,62;652,54;662,52;638,76;655,97;685,49;733,01;764,6;787,01;820,78;841,79;815;932,04;993,71;1 063,87
SI041;Osrednjeslovenska;7 227,19;7 774,07;8 346,72;9 141,35;9 665,48;10 260,55;11 285,78;12 571,16;13 623,59;13 323,47;13 356,72;13 554,93;13 354,87;13 406,17;13 856,6;14 227,08;14 916,95;15 832,17;17 025,49;18 122,11;18 055,11;20 394,81;21 810,95;25 144,48
SI042;Gorenjska;1 910,34;2 051,49;2 172,94;2 277,62;2 418,71;2 500,25;2 648,86;2 968,17;3 171,31;2 877,18;2 954,54;3 035,56;2 987,52;3 077,76;3 245,64;3 374,52;3 477,22;3 760,84;4 016,53;4 255,17;3 906,35;4 325,56;4 978,51;5 493,01
SI043;Goriška;1 279,04;1 355,11;1 437,7;1 488,24;1 544,34;1 618,57;1 731,99;1 982,49;2 129,81;1 982,77;1 967,67;1 977,13;1 906,26;1 898,75;1 941,97;2 025,09;2 107,73;2 239,14;2 332,28;2 426,6;2 307,8;2 571,52;2 813,1;3 217,25
SI044;Obalno-kraška;1 206,72;1 272,76;1 373,54;1 455,79;1 535,42;1 595,48;1 747,39;1 959,28;2 156,67;2 089,44;2 125,68;2 122,04;1 987,35;1 942,76;2 006,11;2 121,76;2 206,36;2 418,22;2 584,01;2 644,2;2 417,46;2 645,27;3 088,86;3 377,43
;;;;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;;;;